Parasite.species,Chain.length,Host.habitat,Min.lat,Avg.lat,Max.lat,Min.long,Avg.long,Max.long,parasiteKingdom,parasitePhylum,parasiteClass,parasiteOrder,parasiteFamily,parasiteGenus
Raillietina tetragona,2,terrestrial,3.17,29.16903511111111,48.379433,-95.712891,25.962188533333332,108.277199,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Davaineidae,Raillietina
Raphidascaris acus,3,freshwater,-14.5994134,49.04289899302326,66.7613451,-127.6476205,-15.063555667441861,124.123753,Animalia,Nematoda,Chromadorea,Rhabditida,Raphidascarididae,Raphidascaris
Raphidascaris gigi,3,freshwater,36.204824,36.204824,36.204824,138.252924,138.252924,138.252924,Animalia,Nematoda,Chromadorea,Rhabditida,Raphidascarididae,Ichthyascaris
Retinometra venusta,2,freshwater,40.069099,48.0997325,56.130366,-106.346771,-30.654291,45.038189,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Hymenolepididae,Retinometra
Rhabdochona canadensis,2,freshwater,23.634501,45.05573371111111,53.9332706,-127.6476205,-95.74882483333333,-77.82706689999999,Animalia,Nematoda,Chromadorea,Rhabditida,Rhabdochonidae,Rhabdochona
Rhabdochona cascadilla,2,freshwater,45.0521793,51.7131415,56.130366,-127.6476205,-98.53314597777778,-73.5491361,Animalia,Nematoda,Chromadorea,Rhabditida,Rhabdochonidae,Rhabdochona
Rhabdochona coronacauda,2,freshwater,36.204824,48.864417,61.52401,105.318756,121.78584000000001,138.252924,Animalia,Nematoda,Chromadorea,Rhabditida,Rhabdochonidae,Rhabdochona
Rhabdochona denudata,2,freshwater,32.427908,45.214563235294115,63.15587019999999,-95.712891,26.908083852941175,138.252924,Animalia,Nematoda,Chromadorea,Rhabditida,Rhabdochonidae,Rhabdochona
Rhabdochona ergensi,2,freshwater,40.143105,53.08772449999999,63.15587019999999,15.2551187,27.7694299,47.576927,Animalia,Nematoda,Chromadorea,Rhabditida,Rhabdochonidae,Rhabdochona
Rhabdochona gnedini,2,freshwater,37.5442706,46.035116,54.5259614,-4.7277528,5.26368295,15.2551187,Animalia,Nematoda,Chromadorea,Rhabditida,Rhabdochonidae,Rhabdochona
Rhabdochona hellichi,2,freshwater,33.223191,42.33101583333333,54.5259614,-4.7277528,30.564952316666666,71.276093,Animalia,Nematoda,Chromadorea,Rhabditida,Rhabdochonidae,Rhabdochona
Rhabdochona kidderi,2,freshwater,12.7690126,16.422976533333333,23.634501,-102.552784,-91.12079243333334,-85.207229,Animalia,Nematoda,Chromadorea,Rhabditida,Rhabdochonidae,Rhabdochona
Rhabdochona oncorhynchi,2,freshwater,36.204824,53.181704849999996,61.52401,8.468945999999999,66.823936175,138.252924,Animalia,Nematoda,Chromadorea,Rhabditida,Rhabdochonidae,Rhabdochona
