Foodweb,Full_name,Source_Brose,Source_Gilbert,Source_EcoBase,Source_GlobalWeb,Citation,Notes,Habitat,Latitude,Longitude,AbsLat,Nodes,Links,Link_Density,Generality,Norm_Gen,Vulnerability,Norm_Vul,Fraction_Basal,Fraction_Intermediate,Fraction_Top,Mean_Food_Chain,Modularity,MinLat,MaxLat,MinLon,MaxLon
Cap_de_Creus_MPA___whole,Cap de Creus MPA - whole,no,no,yes,no,"X. Corrales, D. Vilas, C. Piroddi, J. Steenbeek, J. Claudet, J. Lloret, A. CalÃÂ², A. Di Franco, T. Font, A. Ligas, G. Prato, R. Sahyoun, P. Sartor, P. Guidetti, M. Coll,
Multi-zone marine protected areas: Assessment of ecosystem and fisheries benefits using multiple ecosystem models,
Ocean & Coastal Management,
Volume 193,
2020,
105232,
ISSN 0964-5691,
https://doi.org/10.1016/j.ocecoaman.2020.105232.",Spain Beach,marine,42.28211045,3.28561084,42.28211045,67,702,10.47761194,11.89830508,1.13559322,12.31578947,1.175438596,0.119402985,0.731343284,0.149253731,5.5105,0.203982726,42.4,42.2,3.2,3.35
Cape Ann,Shallow sublittoral - Cape Ann - Massachusetts,no,yes,no,no,"R.W. Dexter. The Marine Communities of a Tidal Inlet at Cape Ann, Massachusetts: A Study in Bio-Ecology. Ecological Monographs. 17(3), pp. 261-294.",Shallow sublittoral - Cape Ann - Massachusetts,marine,42.60095952,-70.69210988,42.60095952,25,46,1.84,2.19047619,1.19047619,2.19047619,1.19047619,0.16,0.68,0.16,4.3405,0.404300567,,,,
Cape_Cod_Bay,"Cape Cod Bay, Gulf of Maine, New England",no,no,no,yes,"Chase, B.C. (2002)",Shelf,marine,42.43333333,-70.7,42.43333333,10,9,0.9,9,10,1,1.111111111,0.9,0,0.1,2,0,,,,
Cape_Verde,Cape Verde,no,no,yes,no,"Stobberup K.A.,Ramos V.D.M.,Coelho M.L.(2004). Ecopath model of the Cape Verde coastal ecosystem West African marine ecosystems: models and fisheries impacts. pp 39-56. In Palomares M.L.D.,Pauly D.,Palomares M.L.D.,Pauly D.,Palomares M.L.D.,Pauly D.",Cape Verde continental shelf,marine,15.99737,-24.0132,15.99737,31,220,7.096774194,7.857142857,1.107142857,7.096774194,1,0.096774194,0.870967742,0.032258065,5.7065,0.228471074,17.37013,14.62461,-26.06215,-21.96425
Caribbean,Caribbean,no,no,yes,no,"Melgo J.L.,Morisette L.,Kaschner K.,Gerber L.(2009). Food web model and data for studying the interactions between marine mammals and fisheries in the Caribbean ecosystem Modelling the trophic role of marine mammals in tropical areas: data requirements, uncertainty, and validation. pp 53-120. In Morissette L.,Melgo J.L.,Kaschner K.,Gerber L.",Not affiliated continental shelf,marine,15.7843885,-65.390795,15.7843885,29,145,5,5.576923077,1.115384615,7.631578947,1.526315789,0.103448276,0.482758621,0.413793103,5.117,0.213730087,22.21715,9.351627,-73.63545,-57.14614
CaribReef,Caribbean Reef,yes,no,no,no,Opitz 1996,Puerto Rico-Virgin Islands (PRVI) shelf complex,marine,18.316891,-64.784438,18.316891,247,3299,13.3562753,13.63223,1.020661052,13.41057,1.004065108,0.02024291,0.9757085,0.004048583,7.553,0.2479875,,,,
Carretas_Pereyra_coastal_lagoon_system,Carretas-Pereyra coastal lagoon system,no,no,yes,no,"Lapez-Vila, J.M., Schmitter-Soto, J.J. & Velazquez-Velazquez, E. A Trophic Model for a Periodically Closed Coastal Lagoon System in the Southern Mexican Pacific. Wetlands 41, 55 (2021).",Mexico coastal lagoon,marine,15.46511604,-93.1879742,15.46511604,32,222,6.9375,7.161290323,1.032258065,6.9375,1,0.03125,0.96875,0,9.681,0.178905094,15.53,15.43,-93.23,-93.12
Catalan_Sea,Catalan Sea,no,no,no,yes,Sabates & Saiz (2000),shelfbreak/open ocean,marine,40.91666667,2.666666667,40.91666667,16,36,2.25,6,2.666666667,3.6,1.6,0.625,0,0.375,2,0.163966049,,,,
Celestun_mangrove,Celestun mangrove,no,no,yes,no,"Vega-Cendejas M.E.,ArreguÃÂ±ÃÂn-SÃÂ¡nchez F.(2001). Energy fluxes in a mangrove ecosystem from a coastal lagoon in Yucatan Peninsula, Mexico Ecological Modelling. pp 119-133",Mexico coastal lagoon,marine,20.8762579,-90.39652562,20.8762579,19,96,5.052631579,6,1.1875,5.333333333,1.055555556,0.157894737,0.789473684,0.052631579,5.6255,0.109550237,20.96206,20.77547,-90.41351,-90.32684
Celtic_Sea,Celtic Sea,no,no,yes,no,"Moullec F., Gascuel D., Bentorcha K., et al., 2017, Journal of Marine systems, 172: 104Ã¢ÂÂ117","France, UK, Irlande continental shelf",marine,50.286645,-6.2996455,50.286645,48,485,10.10416667,11.27906977,1.11627907,11.02272727,1.090909091,0.104166667,0.8125,0.083333333,7.031,0.141791275,52.49927,48.07402,-11.42953,-1.169761
