Location,Latitude,Longitude,state,country,Quality check,revised Lat,revised Long,CoordinateCleaner location,CC location rationale
"Ukraine, incl. Moldavia",48.379433,31.1655799,Кіровоградська область,Україна,,,,,
Georgia (USSR),42.315407,43.356892,იმერეთი,საქართველო,,,,,
Armenia,40.069099,45.038189,Գեղարքունիքի մարզ,Հայաստան,,,,,
Azerbaidzan,40.143105,47.576927,NA,Azərbaycan,,,,,
Kazakstan,48.019573,66.923684,Ұлытау облысы,Қазақстан,,,,,
Turkmenistan,38.969719,59.556278,Ahal welaýaty,Türkmenistan,,,,,
Uzbekistan,41.377491,64.585262,Navoiy Viloyati,Oʻzbekiston,,,,,
Tadzhikistan,38.861034,71.276093,Ноҳияҳои тобеи ҷумҳурӣ,Тоҷикистон,,,,,
Kirgizia,41.20438,74.766098,Нарын облусу,Кыргызстан,,,,,
Lake Baikal,53.5587003,108.164997,Иркутская область,Россия,,,,,
Yakut ASSR,66.7613451,124.123753,Республика Саха (Якутия),Россия,,,,,
Russia (Asian),61.52401,105.318756,Красноярский край,Россия,,,,,
North Africa,23.4162027,25.66283,الوادي الجديد,مصر,,,,,
Morocco,31.791702,-7.09262,Marrakech-Safi ⵎⵕⵕⴰⴽⵛ-ⴰⵙⴼⵉ مراكش-أسفي,Maroc ⵍⵎⵖⵔⵉⴱ المغرب,,,,,
Tunisia,33.886917,9.537499,ولاية قابس,تونس,,,,,
Syria,34.802075,38.996815,محافظة حمص,سوريا,,,,,
Iraq,33.223191,43.679291,محافظة الأنبار,العراق,,,,,
Kuwait,29.31166,47.481766,محافظة الجهراء,الكويت,,,,,
Iran,32.427908,53.688046,استان یزد,ایران,,,,,
Jordan,30.585164,36.238414,معان,الأردن,,,,,
Lebanon,33.854721,35.862285,محافظة البقاع,لبنان,,,,,
Bahrain + Qatar + United Arab Emirates,26.2232983,50.5946944,محافظة العاصمة,البحرين,,,,,
Bahrain,26.0667,50.5577,المحافظة الجنوبية,البحرين,,,,,
Oman,21.4735329,55.975413,محافظة الظاهرة,عمان,,,,,
Southern Yemen + Yemen,15.552727,48.516388,محافظة حضرموت,اليمن,,,,,
