parasiteScientificName,Location,Latitude,Longitude
Pomphorhynchus laevis,Georgia (USSR),42.315407,43.35689199999999
Acanthocephalus anguillae,Georgia (USSR),42.315407,43.35689199999999
Echinorhynchus salmonis,Baltic Sea,58.48795200000001,19.863281
Echinorhynchus gadi,Finland,61.92410999999999,25.7481511
Neoechinorhynchus rutili,Georgia (USSR),42.315407,43.35689199999999
Acanthocephalus dirus,Lake Superior,47.723087,-86.940716
Echinorhynchus salmonis,Lake Superior,47.723087,-86.940716
Macracanthorhynchus ingens,North Carolina,35.7595731,-79.01929969999999
Echinorhynchus truttae,Baltic Sea,58.48795200000001,19.863281
Polymorphus minutus,Baltic Sea,58.48795200000001,19.863281
Centrorhynchus aluconis,"England, Wales + Isle of Man",54.236107,-4.548056
Plagiorhynchus cylindraceus,"England, Wales + Isle of Man",54.236107,-4.548056
Echinorhynchus gadi,Norwegian Sea,68.8773537,3.13966
Echinorhynchus bothniensis,Finland,61.92410999999999,25.7481511
Echinorhynchus salmonis,Indiana,40.2671941,-86.1349019
Moniliformis clarki,Japan,36.204824,138.252924
Neoechinorhynchus rutili,Yugoslavia,37.09024,-95.712891
Echinorhynchus truttae,Scotland,56.49067119999999,-4.2026458
Acanthocephalus anguillae,Italy,41.87194,12.56738
Polymorphus cincli,"Ukraine, incl. Moldavia",48.379433,31.1655799
Macracanthorhynchus catulinus,"Ukraine, incl. Moldavia",48.379433,31.1655799
Southwellina hispida,Florida,27.6648274,-81.5157535
Corynosoma strumosum,Eire + N. Ireland,54.7877149,-6.4923145
Acanthocephalus anthuris,Greece,39.074208,21.824312
Acanthocephalus ranae,Greece,39.074208,21.824312
Fessisentis fessus,Louisiana,30.9842977,-91.96233269999999
Polymorphus paradoxus,Alberta,53.9332706,-116.5765035
Corynosoma australe,Chilean coast,-32.98,-71.00999999999999
Acanthocephalus ranae,Uzbekistan,41.377491,64.585262
Moniliformis moniliformis,Iran,32.427908,53.688046
Filicollis anatis,Iraq,33.223191,43.679291
Polymorphus minutus,Iraq,33.223191,43.679291
Acanthocephalus lucii,Greece,39.074208,21.824312
Profilicollis botulus,North Sea,56.511018,3.515625
Bolbosoma vasculosum,Off Azores/Canary/Cape Verde Isles,28.2915637,-16.6291304
Corynosoma semerme,Baltic Sea,58.48795200000001,19.863281
Echinorhynchus gadi,Greenland,71.706936,-42.604303
Filicollis anatis,Indian Region,22,79
Neoechinorhynchus cylindratus,North Carolina,35.7595731,-79.01929969999999
Oligacanthorhynchus tortuosa,Nearctic,53.569001,-113.571487
Corynosoma bullosum,Atlantic Ocean,-14.5994134,-28.6731465
Corynosoma cetaceum,Chilean coast,-32.98,-71.00999999999999
Corynosoma strumosum,Iceland,64.963051,-19.020835
Corynosoma semerme,Iceland,64.963051,-19.020835
Corynosoma magdaleni,Iceland,64.963051,-19.020835
Echinorhynchus gadi,West Coast of Norway,60.4121981,5.3222701
Corynosoma semerme,West Coast of Norway,60.4121981,5.3222701
Golvanacanthus blennii,"Ukraine, incl. Moldavia",48.379433,31.1655799
Neoechinorhynchus rutili,"Ukraine, incl. Moldavia",48.379433,31.1655799
Echinorhynchus borealis,"Ukraine, incl. Moldavia",48.379433,31.1655799
Acanthocephalus lucii,"Ukraine, incl. Moldavia",48.379433,31.1655799
Acanthocephalus anguillae,"Ukraine, incl. Moldavia",48.379433,31.1655799
Pomphorhynchus laevis,"Ukraine, incl. Moldavia",48.379433,31.1655799
Leptorhynchoides thecatus,Louisiana,30.9842977,-91.96233269999999
Acanthocephalus clavula,Finno-Karelian ASSR,63.15587019999999,32.9905552
Corynosoma strumosum,Finno-Karelian ASSR,63.15587019999999,32.9905552
Polymorphus minutus,Black Sea,43.41302899999999,34.299316
Plagiorhynchus cylindraceus,"Ukraine, incl. Moldavia",48.379433,31.1655799
Acanthocephalus tumescens,Argentina,-38.416097,-63.61667199999999
Neoechinorhynchus cylindratus,Nova Scotia,44.68198659999999,-63.744311
Acanthocephalus lucii,Italy,41.87194,12.56738
Golvanacanthus blennii,Italy,41.87194,12.56738
Neoechinorhynchus rutili,Italy,41.87194,12.56738
Echinorhynchus salmonis,Nova Scotia,44.68198659999999,-63.744311
Acanthocephalus dirus,Great Lakes,45.0522366,-82.4846115
Echinorhynchus leidyi,Great Lakes,45.0522366,-82.4846115
Echinorhynchus salmonis,Great Lakes,45.0522366,-82.4846115
Leptorhynchoides thecatus,Great Lakes,45.0522366,-82.4846115
Neoechinorhynchus rutili,Great Lakes,45.0522366,-82.4846115
Pomphorhynchus bulbocolli,Great Lakes,45.0522366,-82.4846115
Acanthocephalus lucii,Norway,60.47202399999999,8.468945999999999
Echinorhynchus gadi,Norway,60.47202399999999,8.468945999999999
Macracanthorhynchus catulinus,"England, Wales + Isle of Man",54.236107,-4.548056
Polymorphus minutus,Italy,41.87194,12.56738
Neoechinorhynchus emydis,Italy,41.87194,12.56738
Southwellina hispida,Italy,41.87194,12.56738
Neoechinorhynchus rutili,Norway,60.47202399999999,8.468945999999999
Profilicollis botulus,Iceland,64.963051,-19.020835
Polymorphus minutus,Iceland,64.963051,-19.020835
Corynosoma cetaceum,Indian Ocean,-33.137551,81.826172
Corynosoma semerme,Arctic Ocean,65.2481624,-60.4620977
Profilicollis botulus,Norway,60.47202399999999,8.468945999999999
Acanthocephalus ranae,District of Columbia/Delaware/New Jersey/Maryland,39.0457549,-76.64127119999999
Acanthocephalus dirus,District of Columbia/Delaware/New Jersey/Maryland,39.0457549,-76.64127119999999
Moniliformis clarki,Lake Baikal,53.5587003,108.1649965
Macracanthorhynchus catulinus,Lake Baikal,53.5587003,108.1649965
