parasiteScientificName,Location,Latitude,Longitude
Acanthocephalus anguillae,France,46.227638,2.213749
Acanthocephalus lucii,France,46.227638,2.213749
Pomphorhynchus laevis,France,46.227638,2.213749
Corynosoma strumosum,Alaska,64.2008413,-149.4936733
Corynosoma semerme,Alaska,64.2008413,-149.4936733
Polymorphus minutus,Alaska,64.2008413,-149.4936733
Filicollis anatis,Armenia,40.069099,45.038189
Polymorphus minutus,Kazakstan,48.019573,66.923684
Centrorhynchus aluconis,"Ukraine, incl. Moldavia",48.379433,31.1655799
Acanthocephalus anthuris,Spain + Andalusia,37.5442706,-4.7277528
Centrorhynchus aluconis,Spain + Andalusia,37.5442706,-4.7277528
Moniliformis moniliformis,Balearic Islands,39.3587759,2.7356328
Bolbosoma vasculosum,Mediterranean,34.5531284,18.0480105
Neoechinorhynchus cylindratus,Canada,56.130366,-106.346771
Neoechinorhynchus rutili,Canada,56.130366,-106.346771
Bolbosoma balaenae,Atlantic Ocean,-14.5994134,-28.6731465
Bolbosoma vasculosum,Atlantic Ocean,-14.5994134,-28.6731465
Corynosoma cetaceum,Atlantic Ocean,-14.5994134,-28.6731465
Echinorhynchus truttae,"England, Wales + Isle of Man",54.236107,-4.548056
Pomphorhynchus laevis,Italy,41.87194,12.56738
Pomphorhynchus laevis,Greece,39.074208,21.824312
Pomphorhynchus laevis,European USSR (CIS),54.5259614,15.2551187
Golvanacanthus blennii,Black Sea,43.41302899999999,34.299316
Filicollis anatis,Germany,51.165691,10.451526
Plagiorhynchus cylindraceus,United States,37.09024,-95.712891
Moniliformis moniliformis,Indonesia & Malaysia,-0.789275,113.921327
Moniliformis moniliformis,Fijian Islands,-17.713371,178.065032
Corynosoma strumosum,Turkmenistan,38.969719,59.556278
Macracanthorhynchus catulinus,Turkmenistan,38.969719,59.556278
Filicollis anatis,Kirgizia,41.20438,74.766098
Moniliformis moniliformis,United States,37.09024,-95.712891
Acanthocephalus anguillae,Azerbaidzan,40.143105,47.576927
Corynosoma strumosum,Azerbaidzan,40.143105,47.576927
Pomphorhynchus laevis,Azerbaidzan,40.143105,47.576927
Moniliformis moniliformis,Colorado,39.5500507,-105.7820674
Macracanthorhynchus ingens,Arkansas,35.20105,-91.8318334
Oligacanthorhynchus tortuosa,Arkansas,35.20105,-91.8318334
Neoechinorhynchus cylindratus,Louisiana,30.9842977,-91.96233269999999
Corynosoma strumosum,North Sea,56.511018,3.515625
Corynosoma strumosum,Baltic Sea,58.48795200000001,19.863281
Centrorhynchus milvus,Senegal,14.497401,-14.452362
Moniliformis clarki,Florida,27.6648274,-81.5157535
Macracanthorhynchus ingens,Florida,27.6648274,-81.5157535
Moniliformis moniliformis,Iraq,33.223191,43.679291
Pomphorhynchus laevis,Austria,47.516231,14.550072
Acanthocephalus lucii,Austria,47.516231,14.550072
Acanthocephalus anguillae,Austria,47.516231,14.550072
Polymorphus minutus,Germany,51.165691,10.451526
Prosthenorchis elegans,"Ukraine, incl. Moldavia",48.379433,31.1655799
Corynosoma semerme,Northwest Territories,64.8255441,-124.8457334
Echinorhynchus gadi,Western coast of British Isles,56.41323389999999,-5.472362899999999
Mediorhynchus grandis,Oklahoma,35.0077519,-97.092877
Leptorhynchoides thecatus,New Hampshire/Vermont/Massachusetts/Connecticut/Rhode Is.,43.2509279,-71.9273024
Bolbosoma balaenae,Arctic Ocean,65.2481624,-60.4620977
Octospiniferoides chandleri,Mexico,23.634501,-102.552784
Dollfusentis chandleri,Mexico,23.634501,-102.552784
Polymorphus contortus,Baltic Sea,58.48795200000001,19.863281
Centrorhynchus aluconis,Scotland,56.49067119999999,-4.2026458
Moniliformis clarki,Arkansas,35.20105,-91.8318334
Acanthocephalus tumescens,Chile,-35.675147,-71.542969
Acanthocephalus anguillae,Baltic Sea,58.48795200000001,19.863281
Acanthocephalus lucii,Baltic Sea,58.48795200000001,19.863281
Pomphorhynchus laevis,Armenia,40.069099,45.038189
Neoechinorhynchus rutili,Austria,47.516231,14.550072
Acanthocephalus ranae,Austria,47.516231,14.550072
Corynosoma strumosum,Austria,47.516231,14.550072
Polymorphus contortus,Austria,47.516231,14.550072
Polymorphus minutus,Austria,47.516231,14.550072
Arhythmorhynchus frassoni,Austria,47.516231,14.550072
Filicollis anatis,Austria,47.516231,14.550072
Centrorhynchus aluconis,Austria,47.516231,14.550072
Prosthenorchis elegans,Austria,47.516231,14.550072
Corynosoma strumosum,Georgia (USSR),42.315407,43.35689199999999
Echinorhynchus borealis,Finland,61.92410999999999,25.7481511
