Parasite.species,Location,Latitude,Longitude,Chain.length,Host.habitat,parasiteKingdom,parasitePhylum,parasiteClass,parasiteOrder,parasiteFamily,parasiteGenus
Profilicollis botulus,British Columbia,53.7266683,-127.6476205,2,marine,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Profilicollis
Leptorhynchoides thecatus,Nebraska,41.4925374,-99.9018131,4,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Rhadinorhynchidae,Leptorhynchoides
Pomphorhynchus bulbocolli,Iowa,41.8780025,-93.097702,2,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Pomphorhynchidae,Pomphorhynchus
Leptorhynchoides thecatus,Iowa,41.8780025,-93.097702,4,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Rhadinorhynchidae,Leptorhynchoides
Acanthocephalus lucii,Byelorussia,53.709807,27.953389,2,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Acanthocephalus
Echinorhynchus salmonis,Finland,61.92410999999999,25.7481511,3,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Echinorhynchus
Pomphorhynchus laevis,Baltic Sea,58.48795200000001,19.863281,4,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Pomphorhynchidae,Pomphorhynchus
Echinorhynchus gadi,Baltic Sea,58.48795200000001,19.863281,3,marine,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Echinorhynchus
Moniliformis moniliformis,"England, Wales + Isle of Man",54.236107,-4.548056,2,terrestrial,Animalia,Acanthocephala,Archiacanthocephala,Moniliformida,Moniliformidae,Moniliformis
Moniliformis moniliformis,Florida,27.6648274,-81.5157535,2,terrestrial,Animalia,Acanthocephala,Archiacanthocephala,Moniliformida,Moniliformidae,Moniliformis
Acanthocephalus lucii,Yugoslavia,37.09024,-95.712891,2,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Acanthocephalus
Acanthocephalus anguillae,Yugoslavia,37.09024,-95.712891,2,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Acanthocephalus
Pomphorhynchus laevis,Yugoslavia,37.09024,-95.712891,4,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Pomphorhynchidae,Pomphorhynchus
Neoechinorhynchus rutili,Germany,51.165691,10.451526,4,freshwater,Animalia,Acanthocephala,Eoacanthocephala,Neoechinorhynchida,Neoechinorhynchidae,Neoechinorhynchus
Pomphorhynchus laevis,Mexico,23.634501,-102.552784,4,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Pomphorhynchidae,Pomphorhynchus
Acanthocephalus anguillae,Mexico,23.634501,-102.552784,2,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Acanthocephalus
Acanthocephalus lucii,Finno-Karelian ASSR,63.15587019999999,32.9905552,2,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Acanthocephalus
Neoechinorhynchus rutili,Finland,61.92410999999999,25.7481511,4,freshwater,Animalia,Acanthocephala,Eoacanthocephala,Neoechinorhynchida,Neoechinorhynchidae,Neoechinorhynchus
Acanthocephalus lucii,Finland,61.92410999999999,25.7481511,2,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Acanthocephalus
Acanthocephalus anguillae,Finland,61.92410999999999,25.7481511,2,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Acanthocephalus
Echinorhynchus salmonis,Ontario,51.253775,-85.323214,3,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Echinorhynchus
Echinorhynchus gadi,Atlantic Ocean,-14.5994134,-28.6731465,3,marine,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Echinorhynchus
