Parasite.species,Location,Latitude,Longitude,Chain.length,Host.habitat,parasiteKingdom,parasitePhylum,parasiteClass,parasiteOrder,parasiteFamily,parasiteGenus
Hymenolepis peromysci,California,36.778261,-119.4179324,2,terrestrial,NA,NA,NA,NA,NA,NA
Taenia taeniaeformis,Laos,19.85627,102.495496,2,terrestrial,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Hydatigera
Joyeuxiella echinorhynchoides,Corsica,42.0396042,9.012892599999999,3,terrestrial,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Dipylidiidae,Joyeuxiella
Joyeuxiella pasqualei,Senegal,14.497401,-14.452362,3,terrestrial,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Dipylidiidae,Joyeuxiella
Paranoplocephala omphalodes,Finno-Karelian ASSR,63.15587019999999,32.9905552,2,terrestrial,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,Paranoplocephala
Hymenolepis diminuta,Finno-Karelian ASSR,63.15587019999999,32.9905552,2,terrestrial,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Hymenolepididae,Hymenolepis
Lineolepis scutigera,Finno-Karelian ASSR,63.15587019999999,32.9905552,2,terrestrial,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Hymenolepididae,Lineolepis
Neoskrjabinolepis schaldybini,Finno-Karelian ASSR,63.15587019999999,32.9905552,2,terrestrial,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Hymenolepididae,Hymenolepis
Staphylocystis furcata,Finno-Karelian ASSR,63.15587019999999,32.9905552,2,terrestrial,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Hymenolepididae,Staphylocystis
Molluscotaenia crassiscolex,Finno-Karelian ASSR,63.15587019999999,32.9905552,2,terrestrial,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Dilepididae,Choanotaenia
Taenia martis,Finno-Karelian ASSR,63.15587019999999,32.9905552,2,terrestrial,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Taenia
Taenia mustelae,Finno-Karelian ASSR,63.15587019999999,32.9905552,2,terrestrial,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Taenia
Cladotaenia globifera,Finno-Karelian ASSR,63.15587019999999,32.9905552,2,terrestrial,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Paruterinidae,Cladotaenia
Aploparaksis furcigera,Armenia,40.069099,45.038189,2,terrestrial,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Hymenolepididae,Aploparaksis
Diorchis brevis,Armenia,40.069099,45.038189,2,freshwater,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Hymenolepididae,Diorchis
Diorchis ransomi,Armenia,40.069099,45.038189,3,freshwater,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Hymenolepididae,Diorchis
Fimbriaria fasciolaris,Armenia,40.069099,45.038189,3,freshwater,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Hymenolepididae,Fimbriaria
Megathylacoides giganteum,Manitoba,53.7608608,-98.8138762,3,freshwater,Animalia,Platyhelminthes,Cestoda,Onchoproteocephalidea,Proteocephalidae,Megathylacoides
Davainea proglottina,Ethiopia (incl. Dhibouti),11.59516,43.146473,2,terrestrial,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Davaineidae,Davainea
Trichostrongylus colubriformis,Kuwait,29.31166,47.481766,1,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Trichostrongylidae,Trichostrongylus
Trichostrongylus vitrinus,Kuwait,29.31166,47.481766,1,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Trichostrongylidae,Trichostrongylus
Physocephalus sexalatus,Kuwait,29.31166,47.481766,3,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Spirocercidae,Physocephalus
Haemonchus contortus,Kuwait,29.31166,47.481766,1,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Trichostrongylidae,Haemonchus
Ascaris lumbricoides,Bahrain,26.0667,50.5577,1,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Ascarididae,Ascaris
Hedruris spinigera,North Sea,56.511018,3.515625,2,freshwater,Animalia,Nematoda,Chromadorea,Rhabditida,Hedruridae,Hedruris
Hedruris spinigera,"England, Wales + Isle of Man",54.236107,-4.548056,2,freshwater,Animalia,Nematoda,Chromadorea,Rhabditida,Hedruridae,Hedruris
Camallanus cotti,Vietnam,14.058324,108.277199,2,freshwater,Animalia,Nematoda,Chromadorea,Rhabditida,Camallanidae,Camallanus
Spinitectus ranae,Vietnam,14.058324,108.277199,2,freshwater,Animalia,Nematoda,Chromadorea,Rhabditida,Cystidicolidae,Spinitectus
Angiostrongylus cantonensis,Louisiana,30.9842977,-91.96233269999999,3,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Metastrongylidae,Angiostrongylus
Enterobius vermicularis,"England, Wales + Isle of Man",54.236107,-4.548056,1,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Oxyuridae,Enterobius
Diplotriaena tridens,Spain + Andalusia,37.5442706,-4.7277528,2,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Diplotriaenidae,Diplotriaena
Eustrongylides tubifex,Ontario,51.253775,-85.323214,3,freshwater,Animalia,Nematoda,Enoplea,Dioctophymatida,Dioctophymatidae,Eustrongylides
Eustrongylides tubifex,Europe,54.5259614,15.2551187,3,freshwater,Animalia,Nematoda,Enoplea,Dioctophymatida,Dioctophymatidae,Eustrongylides
Eustrongylides tubifex,Germany,51.165691,10.451526,3,freshwater,Animalia,Nematoda,Enoplea,Dioctophymatida,Dioctophymatidae,Eustrongylides
Eustrongylides tubifex,Lake Erie,42.0668852,-81.3399414,3,freshwater,Animalia,Nematoda,Enoplea,Dioctophymatida,Dioctophymatidae,Eustrongylides
Eustrongylides tubifex,Alaska,64.2008413,-149.4936733,3,freshwater,Animalia,Nematoda,Enoplea,Dioctophymatida,Dioctophymatidae,Eustrongylides
Eustrongylides tubifex,British Columbia,53.7266683,-127.6476205,3,freshwater,Animalia,Nematoda,Enoplea,Dioctophymatida,Dioctophymatidae,Eustrongylides
Eustrongylides tubifex,"England, Wales + Isle of Man",54.236107,-4.548056,3,freshwater,Animalia,Nematoda,Enoplea,Dioctophymatida,Dioctophymatidae,Eustrongylides
Eustrongylides ignotus,Florida,27.6648274,-81.5157535,3,freshwater,Animalia,Nematoda,Enoplea,Dioctophymatida,Dioctophymatidae,Eustrongylides
Toxocara canis,Greece,39.074208,21.824312,2,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Ascarididae,Toxocara
Toxascaris leonina,Greece,39.074208,21.824312,2,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Ascarididae,Toxascaris
Uncinaria stenocephala,Greece,39.074208,21.824312,1,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Ancylostomatidae,Uncinaria
Trichuris vulpis,Greece,39.074208,21.824312,1,terrestrial,Animalia,Nematoda,Enoplea,Trichinellida,Trichuridae,Trichuris
Spirocerca lupi,Greece,39.074208,21.824312,3,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Spirocercidae,Spirocerca
Trichuris muris,Eire + N. Ireland,54.7877149,-6.4923145,1,terrestrial,Animalia,Nematoda,Enoplea,Trichinellida,Trichuridae,Trichuris
Physaloptera rara,Arkansas,35.20105,-91.8318334,3,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Physalopteridae,Physaloptera
Toxocara cati,Arkansas,35.20105,-91.8318334,2,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Ascarididae,Toxocara
Thelastoma bulhoesi,United States,37.09024,-95.712891,1,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Thelastomatidae,Thelastoma
Hammerschmidtiella diesingi,United States,37.09024,-95.712891,1,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Thelastomatidae,Hammerschmidtiella
Pterygodermatites coloradensis,Nevada,38.8026097,-116.419389,2,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Rictulariidae,Pterygodermatites
Muellerius capillaris,Morocco,31.791702,-7.092619999999999,2,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Metastrongylidae,Muellerius
Neostrongylus linearis,Morocco,31.791702,-7.092619999999999,2,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Metastrongylidae,Neostrongylus
Angiostrongylus cantonensis,Japan,36.204824,138.252924,3,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Metastrongylidae,Angiostrongylus
Ascarophis arctica,Baltic Sea,58.48795200000001,19.863281,2,marine,Animalia,Nematoda,Chromadorea,Rhabditida,Cystidicolidae,Ascarophis
Pseudoterranova decipiens,Sea of Okhotsk,52.87362299999999,149.3658173,4,marine,Animalia,Nematoda,Chromadorea,Rhabditida,Anisakidae,Pseudoterranova
Anisakis simplex,Sea of Okhotsk,52.87362299999999,149.3658173,4,marine,Animalia,Nematoda,Chromadorea,Rhabditida,Anisakidae,Anisakis
Otostrongylus circumlitus,Sea of Okhotsk,52.87362299999999,149.3658173,2,marine,Animalia,Nematoda,Chromadorea,Rhabditida,Crenosomatidae,Otostrongylus
Philonema agubernaculum,British Columbia,53.7266683,-127.6476205,2,freshwater,Animalia,Nematoda,Chromadorea,Rhabditida,Philonematidae,Philonema
Philonema oncorhynchi,British Columbia,53.7266683,-127.6476205,2,freshwater,Animalia,Nematoda,Chromadorea,Rhabditida,Philonematidae,Philonema
Elaphostrongylus rangiferi,Norway,60.47202399999999,8.468945999999999,2,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Metastrongylidae,Elaphostrongylus
Cystidicoloides tenuissima,"England, Wales + Isle of Man",54.236107,-4.548056,3,freshwater,Animalia,Nematoda,Chromadorea,Rhabditida,Cystidicolidae,Salmonema
Paraquimperia tenerrima,"England, Wales + Isle of Man",54.236107,-4.548056,2,freshwater,Animalia,Nematoda,Chromadorea,Rhabditida,Quimperiidae,Paraquimperia
Echinocephalus overstreeti,South Australia,-30.0002315,136.2091547,2,marine,Animalia,Nematoda,Chromadorea,Rhabditida,Gnathostomatidae,Echinocephalus
Ostertagia ostertagi,United States,37.09024,-95.712891,1,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Trichostrongylidae,Ostertagia
Ostertagia ostertagi,"England, Wales + Isle of Man",54.236107,-4.548056,1,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Trichostrongylidae,Ostertagia
Ostertagia ostertagi,South Dakota,43.9695148,-99.9018131,1,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Trichostrongylidae,Ostertagia
Teladorsagia circumcincta,South Dakota,43.9695148,-99.9018131,1,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Trichostrongylidae,Ostertagia
Teladorsagia circumcincta,California,36.778261,-119.4179324,1,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Trichostrongylidae,Ostertagia
Teladorsagia circumcincta,"England, Wales + Isle of Man",54.236107,-4.548056,1,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Trichostrongylidae,Ostertagia
Teladorsagia circumcincta,Canada,56.130366,-106.346771,1,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Trichostrongylidae,Ostertagia
Teladorsagia circumcincta,Alaska,64.2008413,-149.4936733,1,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Trichostrongylidae,Ostertagia
Teladorsagia circumcincta,United States,37.09024,-95.712891,1,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Trichostrongylidae,Ostertagia
Eustrongylides ignotus,New Zealand,-40.900557,174.885971,3,freshwater,Animalia,Nematoda,Enoplea,Dioctophymatida,Dioctophymatidae,Eustrongylides
Eustrongylides ignotus,California,36.778261,-119.4179324,3,freshwater,Animalia,Nematoda,Enoplea,Dioctophymatida,Dioctophymatidae,Eustrongylides
Oesophagostomum bifurcum,Benin + Togo + Ghana,9.30769,2.315834,1,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Strongylidae,Oesophagostomum
Toxascaris leonina,Spain + Andalusia,37.5442706,-4.7277528,2,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Ascarididae,Toxascaris
Uncinaria stenocephala,Spain + Andalusia,37.5442706,-4.7277528,1,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Ancylostomatidae,Uncinaria
Toxocara canis,Spain + Andalusia,37.5442706,-4.7277528,2,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Ascarididae,Toxocara
Trichuris vulpis,Spain + Andalusia,37.5442706,-4.7277528,1,terrestrial,Animalia,Nematoda,Enoplea,Trichinellida,Trichuridae,Trichuris
Haemonchus contortus,Mexico,23.634501,-102.552784,1,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Trichostrongylidae,Haemonchus
Eustrongylides excisus,Europe,54.5259614,15.2551187,3,freshwater,Animalia,Nematoda,Enoplea,Dioctophymatida,Dioctophymatidae,Eustrongylides
Eustrongylides excisus,Taiwan,23.69781,120.960515,3,freshwater,Animalia,Nematoda,Enoplea,Dioctophymatida,Dioctophymatidae,Eustrongylides
Ophidascaris baylisi,Malaya,3.17,101.7,2,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Ascarididae,Ophidascaris
Ophidascaris baylisi,Thailand,15.870032,100.992541,2,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Ascarididae,Ophidascaris
Ophidascaris moreliae,Australia,-25.274398,133.775136,3,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Ascarididae,Ophidascaris
Ophidascaris pyrrhus,New South Wales,-31.2532183,146.921099,2,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Ascarididae,Ophidascaris
Ophidascaris pyrrhus,Australia,-25.274398,133.775136,2,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Ascarididae,Ophidascaris
Ophidascaris pyrrhus,Papua New Guinea,-6.314992999999999,143.95555,2,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Ascarididae,Ophidascaris
Toxocara canis,Japan,36.204824,138.252924,2,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Ascarididae,Toxocara
Trichostrongylus tenuis,Scotland,56.49067119999999,-4.2026458,1,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Trichostrongylidae,Trichostrongylus
Trichostrongylus tenuis,"England, Wales + Isle of Man",54.236107,-4.548056,1,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Trichostrongylidae,Trichostrongylus
Heligmosomoides polygyrus,Canada,56.130366,-106.346771,1,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Heligmosomidae,Heligmosomoides
Aspiculuris tetraptera,Canada,56.130366,-106.346771,1,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Heteroxynematidae,Aspiculuris
Ostertagia ostertagi,Louisiana,30.9842977,-91.96233269999999,1,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Trichostrongylidae,Ostertagia
Dictyocaulus viviparus,Ontario,51.253775,-85.323214,1,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Metastrongylidae,Dictyocaulus
Trichuris ovis,Ontario,51.253775,-85.323214,1,terrestrial,Animalia,Nematoda,Enoplea,Trichinellida,Trichinellidae,Trichocephalus
Trichuris discolor,Ontario,51.253775,-85.323214,1,terrestrial,Animalia,Nematoda,Enoplea,Trichinellida,Trichuridae,Trichuris
Toxocara canis,"England, Wales + Isle of Man",54.236107,-4.548056,2,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Ascarididae,Toxocara
Ostertagia ostertagi,Maine,45.253783,-69.4454689,1,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Trichostrongylidae,Ostertagia
Dictyocaulus arnfieldi,"England, Wales + Isle of Man",54.236107,-4.548056,1,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Metastrongylidae,Dictyocaulus
Dictyocaulus arnfieldi,Paraguay,-23.442503,-58.443832,1,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Metastrongylidae,Dictyocaulus
Dictyocaulus filaria,Ethiopia (incl. Dhibouti),11.59516,43.146473,1,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Metastrongylidae,Dictyocaulus
Dictyocaulus filaria,"England, Wales + Isle of Man",54.236107,-4.548056,1,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Metastrongylidae,Dictyocaulus
Dictyocaulus filaria,Iraq,33.223191,43.679291,1,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Metastrongylidae,Dictyocaulus
Dictyocaulus viviparus,"England, Wales + Isle of Man",54.236107,-4.548056,1,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Metastrongylidae,Dictyocaulus
Dictyocaulus eckerti,"England, Wales + Isle of Man",54.236107,-4.548056,1,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Metastrongylidae,Dictyocaulus
Ollulanus tricuspis,Quebec,52.9399159,-73.5491361,1,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Molineidae,Ollulanus
Oslerus osleri,United States,37.09024,-95.712891,1,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Filaroididae,Filaroides
Angiostrongylus cantonensis,Islands of Pacific Ocean,-8.783195,-124.508523,3,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Metastrongylidae,Angiostrongylus
Echinocephalus overstreeti,Hawaiian Islands,19.8967662,-155.5827818,2,marine,Animalia,Nematoda,Chromadorea,Rhabditida,Gnathostomatidae,Echinocephalus
Ascaris lumbricoides,Switzerland + Lichtenstein,47.3682887,8.5374552,1,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Ascarididae,Ascaris
Trichuris trichiura,Switzerland + Lichtenstein,47.3682887,8.5374552,1,terrestrial,Animalia,Nematoda,Enoplea,Trichinellida,Trichuridae,Trichuris
Enterobius vermicularis,Switzerland + Lichtenstein,47.3682887,8.5374552,1,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Oxyuridae,Enterobius
Pseudoterranova decipiens,Northeast Atlantic,39.370134,-77.40677199999999,4,marine,Animalia,Nematoda,Chromadorea,Rhabditida,Anisakidae,Pseudoterranova
Trichuris vulpis,Japan,36.204824,138.252924,1,terrestrial,Animalia,Nematoda,Enoplea,Trichinellida,Trichuridae,Trichuris
Echinuria uncinata,Bangladesh,23.684994,90.356331,2,freshwater,Animalia,Nematoda,Chromadorea,Rhabditida,Acuariidae,Echinuria
Capillaria anatis,Bangladesh,23.684994,90.356331,2,terrestrial,Animalia,Nematoda,Enoplea,Trichinellida,Capillariidae,Capillaria
Amidostomum anseris,Bangladesh,23.684994,90.356331,1,freshwater,Animalia,Nematoda,Chromadorea,Rhabditida,Amidostomidae,Amidostomum
Angiostrongylus costaricensis,Japan,36.204824,138.252924,2,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Metastrongylidae,Angiostrongylus
Angiostrongylus siamensis,Japan,36.204824,138.252924,2,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Metastrongylidae,Angiostrongylus
Heterakis spumosa,Japan,36.204824,138.252924,2,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Heterakidae,Heterakis
Camallanus lacustris,Finno-Karelian ASSR,63.15587019999999,32.9905552,4,freshwater,Animalia,Nematoda,Chromadorea,Rhabditida,Camallanidae,Camallanus
Trichostrongylus vitrinus,Scotland,56.49067119999999,-4.2026458,1,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Trichostrongylidae,Trichostrongylus
Haemonchus contortus,Mauritania,21.00789,-10.940835,1,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Trichostrongylidae,Haemonchus
Trichostrongylus colubriformis,Mauritania,21.00789,-10.940835,1,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Trichostrongylidae,Trichostrongylus
Oesophagostomum columbianum,Mauritania,21.00789,-10.940835,1,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Strongylidae,Oesophagostomum
Skrjabinema ovis,Mauritania,21.00789,-10.940835,1,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Oxyuridae,Skrjabinema
Anisakis simplex,Faroes,61.89263500000001,-6.9118061,4,marine,Animalia,Nematoda,Chromadorea,Rhabditida,Anisakidae,Anisakis
Angiostrongylus cantonensis,Thailand,15.870032,100.992541,3,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Metastrongylidae,Angiostrongylus
Angiostrongylus cantonensis,Taiwan,23.69781,120.960515,3,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Metastrongylidae,Angiostrongylus
Ascaris lumbricoides,Ivory Coast,7.539988999999999,-5.547079999999999,1,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Ascarididae,Ascaris
Enterobius vermicularis,Ivory Coast,7.539988999999999,-5.547079999999999,1,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Oxyuridae,Enterobius
Trichuris trichiura,Ivory Coast,7.539988999999999,-5.547079999999999,1,terrestrial,Animalia,Nematoda,Enoplea,Trichinellida,Trichuridae,Trichuris
Trichuris trichiura,Italy,41.87194,12.56738,1,terrestrial,Animalia,Nematoda,Enoplea,Trichinellida,Trichuridae,Trichuris
Enterobius vermicularis,Iraq,33.223191,43.679291,1,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Oxyuridae,Enterobius
Ascaris lumbricoides,Yugoslavia,37.09024,-95.712891,1,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Ascarididae,Ascaris
Trichuris trichiura,Yugoslavia,37.09024,-95.712891,1,terrestrial,Animalia,Nematoda,Enoplea,Trichinellida,Trichuridae,Trichuris
Enterobius vermicularis,Yugoslavia,37.09024,-95.712891,1,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Oxyuridae,Enterobius
Haemonchus contortus,Sierra Leone,8.460555,-11.779889,1,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Trichostrongylidae,Haemonchus
Anisakis simplex,Atlantic Ocean,-14.5994134,-28.6731465,4,marine,Animalia,Nematoda,Chromadorea,Rhabditida,Anisakidae,Anisakis
Heligmosomoides laevis,Spain + Andalusia,37.5442706,-4.7277528,1,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Heligmosomidae,Heligmosomoides
Trichostrongylus retortaeformis,Spain + Andalusia,37.5442706,-4.7277528,1,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Trichostrongylidae,Trichostrongylus
Mastophorus muris,Spain + Andalusia,37.5442706,-4.7277528,2,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Spirocercidae,Mastophorus
Heligmosomoides polygyrus,"England, Wales + Isle of Man",54.236107,-4.548056,1,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Heligmosomidae,Heligmosomoides
Chabertia ovina,Belgium + Luxembourg,50.0546886,5.467698299999999,1,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Strongylidae,Chabertia
Oesophagostomum venulosum,Belgium + Luxembourg,50.0546886,5.467698299999999,1,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Strongylidae,Oesophagostomum
Oesophagostomum radiatum,Belgium + Luxembourg,50.0546886,5.467698299999999,1,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Strongylidae,Oesophagostomum
Trichostrongylus colubriformis,Belgium + Luxembourg,50.0546886,5.467698299999999,1,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Trichostrongylidae,Trichostrongylus
Trichostrongylus vitrinus,Belgium + Luxembourg,50.0546886,5.467698299999999,1,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Trichostrongylidae,Trichostrongylus
Ostertagia ostertagi,Belgium + Luxembourg,50.0546886,5.467698299999999,1,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Trichostrongylidae,Ostertagia
Cooperia pectinata,Belgium + Luxembourg,50.0546886,5.467698299999999,1,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Trichostrongylidae,Cooperia
Haemonchus contortus,Belgium + Luxembourg,50.0546886,5.467698299999999,1,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Trichostrongylidae,Haemonchus
Nematodirus filicollis,Belgium + Luxembourg,50.0546886,5.467698299999999,1,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Molineidae,Nematodirus
Trichostrongylus colubriformis,New Zealand,-40.900557,174.885971,1,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Trichostrongylidae,Trichostrongylus
Ascaris suum,Italy,41.87194,12.56738,1,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Ascarididae,Ascaris
Anisakis simplex,Washington,47.7510741,-120.7401385,4,marine,Animalia,Nematoda,Chromadorea,Rhabditida,Anisakidae,Anisakis
Dictyocaulus viviparus,France,46.227638,2.213749,1,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Metastrongylidae,Dictyocaulus
Triodontophorus tenuicollis,Italy,41.87194,12.56738,1,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Strongylidae,Triodontophorus
Cyathostomum catinatum,Italy,41.87194,12.56738,1,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Strongylidae,Cyathostomum
Cylicocyclus nassatus,Italy,41.87194,12.56738,1,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Strongylidae,Cylicocyclus
Cylicostephanus longibursatus,Italy,41.87194,12.56738,1,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Strongylidae,Cylicostephanus
Heligmosomum mixtum,Finland,61.92410999999999,25.7481511,1,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Heligmosomidae,Heligmosomum
Mastophorus muris,Finland,61.92410999999999,25.7481511,2,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Spirocercidae,Mastophorus
Enterobius vermicularis,France,46.227638,2.213749,1,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Oxyuridae,Enterobius
Pseudocapillaria tomentosa,Denmark,56.26392,9.501785,2,freshwater,Animalia,Nematoda,Enoplea,Trichinellida,Capillariidae,Pseudocapillaria
Paraquimperia tenerrima,Denmark,56.26392,9.501785,2,freshwater,Animalia,Nematoda,Chromadorea,Rhabditida,Quimperiidae,Paraquimperia
Raphidascaris acus,Denmark,56.26392,9.501785,3,freshwater,Animalia,Nematoda,Chromadorea,Rhabditida,Raphidascarididae,Raphidascaris
Camallanus lacustris,Denmark,56.26392,9.501785,4,freshwater,Animalia,Nematoda,Chromadorea,Rhabditida,Camallanidae,Camallanus
Heligmosomoides laevis,Georgia (USSR),42.315407,43.35689199999999,1,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Heligmosomidae,Heligmosomoides
Heligmosomoides polygyrus,Georgia (USSR),42.315407,43.35689199999999,1,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Heligmosomidae,Heligmosomoides
Oswaldocruzia filiformis,Sweden,60.12816100000001,18.643501,1,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Molineidae,Oswaldocruzia
Oswaldocruzia filiformis,Sardinia,40.1208752,9.012892599999999,1,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Molineidae,Oswaldocruzia
Trichostrongylus axei,United States,37.09024,-95.712891,1,terrestrial,Animalia,Nematoda,Chromadorea,Rhabditida,Trichostrongylidae,Trichostrongylus
