Parasite.species,Location,Latitude,Longitude,Habitat
Moniliformis moniliformis,United States,37.09024,-95.712891,terrestrial
Acanthocephalus anguillae,Azerbaidzan,40.143105,47.576927,freshwater
Corynosoma strumosum,Azerbaidzan,40.143105,47.576927,marine
Pomphorhynchus laevis,Azerbaidzan,40.143105,47.576927,freshwater
Moniliformis moniliformis,Colorado,39.5500507,-105.7820674,terrestrial
Macracanthorhynchus ingens,Arkansas,35.20105,-91.8318334,terrestrial
Oligacanthorhynchus tortuosa,Arkansas,35.20105,-91.8318334,terrestrial
Neoechinorhynchus cylindratus,Louisiana,30.9842977,-91.96233269999999,freshwater
Corynosoma strumosum,North Sea,56.511018,3.515625,marine
Corynosoma strumosum,Baltic Sea,58.48795200000001,19.863281,marine
Centrorhynchus milvus,Senegal,14.497401,-14.452362,terrestrial
Moniliformis clarki,Florida,27.6648274,-81.5157535,terrestrial
Macracanthorhynchus ingens,Florida,27.6648274,-81.5157535,terrestrial
Moniliformis moniliformis,Iraq,33.223191,43.679291,terrestrial
Pomphorhynchus laevis,Austria,47.516231,14.550072,freshwater
Acanthocephalus lucii,Austria,47.516231,14.550072,freshwater
Acanthocephalus anguillae,Austria,47.516231,14.550072,freshwater
Polymorphus minutus,Germany,51.165691,10.451526,freshwater
Prosthenorchis elegans,"Ukraine, incl. Moldavia",48.379433,31.1655799,terrestrial
Corynosoma semerme,Northwest Territories,64.8255441,-124.8457334,marine
Echinorhynchus gadi,Western coast of British Isles,56.41323389999999,-5.472362899999999,marine
Mediorhynchus grandis,Oklahoma,35.0077519,-97.092877,terrestrial
Leptorhynchoides thecatus,New Hampshire/Vermont/Massachusetts/Connecticut/Rhode Is.,43.2509279,-71.9273024,freshwater
Bolbosoma balaenae,Arctic Ocean,65.2481624,-60.4620977,marine
Octospiniferoides chandleri,Mexico,23.634501,-102.552784,freshwater
Dollfusentis chandleri,Mexico,23.634501,-102.552784,marine
Polymorphus contortus,Baltic Sea,58.48795200000001,19.863281,freshwater
Centrorhynchus aluconis,Scotland,56.49067119999999,-4.2026458,terrestrial
Moniliformis clarki,Arkansas,35.20105,-91.8318334,terrestrial
Acanthocephalus tumescens,Chile,-35.675147,-71.542969,freshwater
Acanthocephalus anguillae,Baltic Sea,58.48795200000001,19.863281,freshwater
Acanthocephalus lucii,Baltic Sea,58.48795200000001,19.863281,freshwater
Pomphorhynchus laevis,Armenia,40.069099,45.038189,freshwater
Neoechinorhynchus rutili,Austria,47.516231,14.550072,freshwater
Acanthocephalus ranae,Austria,47.516231,14.550072,freshwater
Corynosoma strumosum,Austria,47.516231,14.550072,marine
Polymorphus contortus,Austria,47.516231,14.550072,freshwater
Polymorphus minutus,Austria,47.516231,14.550072,freshwater
Arhythmorhynchus frassoni,Austria,47.516231,14.550072,marine
Filicollis anatis,Austria,47.516231,14.550072,freshwater
Centrorhynchus aluconis,Austria,47.516231,14.550072,terrestrial
Prosthenorchis elegans,Austria,47.516231,14.550072,terrestrial
Corynosoma strumosum,Georgia (USSR),42.315407,43.35689199999999,marine
Echinorhynchus borealis,Finland,61.92410999999999,25.7481511,freshwater
Pomphorhynchus laevis,Georgia (USSR),42.315407,43.35689199999999,freshwater
Acanthocephalus anguillae,Georgia (USSR),42.315407,43.35689199999999,freshwater
Echinorhynchus salmonis,Baltic Sea,58.48795200000001,19.863281,freshwater
Echinorhynchus gadi,Finland,61.92410999999999,25.7481511,marine
Neoechinorhynchus rutili,Georgia (USSR),42.315407,43.35689199999999,freshwater
Acanthocephalus dirus,Lake Superior,47.723087,-86.940716,freshwater
Echinorhynchus salmonis,Lake Superior,47.723087,-86.940716,freshwater
Macracanthorhynchus ingens,North Carolina,35.7595731,-79.01929969999999,terrestrial
Echinorhynchus truttae,Baltic Sea,58.48795200000001,19.863281,freshwater
Polymorphus minutus,Baltic Sea,58.48795200000001,19.863281,freshwater
Centrorhynchus aluconis,"England, Wales + Isle of Man",54.236107,-4.548056,terrestrial
Plagiorhynchus cylindraceus,"England, Wales + Isle of Man",54.236107,-4.548056,terrestrial
Echinorhynchus gadi,Norwegian Sea,68.8773537,3.13966,marine
Echinorhynchus bothniensis,Finland,61.92410999999999,25.7481511,freshwater
Echinorhynchus salmonis,Indiana,40.2671941,-86.1349019,freshwater
Moniliformis clarki,Japan,36.204824,138.252924,terrestrial
Neoechinorhynchus rutili,Yugoslavia,37.09024,-95.712891,freshwater
Echinorhynchus truttae,Scotland,56.49067119999999,-4.2026458,freshwater
Acanthocephalus anguillae,Italy,41.87194,12.56738,freshwater
Polymorphus cincli,"Ukraine, incl. Moldavia",48.379433,31.1655799,freshwater
Macracanthorhynchus catulinus,"Ukraine, incl. Moldavia",48.379433,31.1655799,terrestrial
Southwellina hispida,Florida,27.6648274,-81.5157535,marine
Corynosoma strumosum,Eire + N. Ireland,54.7877149,-6.4923145,marine
Acanthocephalus anthuris,Greece,39.074208,21.824312,freshwater
Acanthocephalus ranae,Greece,39.074208,21.824312,freshwater
Fessisentis fessus,Louisiana,30.9842977,-91.96233269999999,freshwater
Polymorphus paradoxus,Alberta,53.9332706,-116.5765035,freshwater
Corynosoma australe,Chilean coast,-32.98,-71.00999999999999,marine
Acanthocephalus ranae,Uzbekistan,41.377491,64.585262,freshwater
Moniliformis moniliformis,Iran,32.427908,53.688046,terrestrial
Filicollis anatis,Iraq,33.223191,43.679291,freshwater
Polymorphus minutus,Iraq,33.223191,43.679291,freshwater
Acanthocephalus lucii,Greece,39.074208,21.824312,freshwater
Profilicollis botulus,North Sea,56.511018,3.515625,marine
Bolbosoma vasculosum,Off Azores/Canary/Cape Verde Isles,28.2915637,-16.6291304,marine
Corynosoma semerme,Baltic Sea,58.48795200000001,19.863281,marine
Echinorhynchus gadi,Greenland,71.706936,-42.604303,marine
Filicollis anatis,Indian Region,22,79,freshwater
Neoechinorhynchus cylindratus,North Carolina,35.7595731,-79.01929969999999,freshwater
Oligacanthorhynchus tortuosa,Nearctic,53.569001,-113.571487,terrestrial
Corynosoma bullosum,Atlantic Ocean,-14.5994134,-28.6731465,marine
Corynosoma cetaceum,Chilean coast,-32.98,-71.00999999999999,marine
Corynosoma strumosum,Iceland,64.963051,-19.020835,marine
Corynosoma semerme,Iceland,64.963051,-19.020835,marine
Corynosoma magdaleni,Iceland,64.963051,-19.020835,marine
Echinorhynchus gadi,West Coast of Norway,60.4121981,5.3222701,marine
Corynosoma semerme,West Coast of Norway,60.4121981,5.3222701,marine
Golvanacanthus blennii,"Ukraine, incl. Moldavia",48.379433,31.1655799,marine
Neoechinorhynchus rutili,"Ukraine, incl. Moldavia",48.379433,31.1655799,freshwater
Echinorhynchus borealis,"Ukraine, incl. Moldavia",48.379433,31.1655799,freshwater
Acanthocephalus lucii,"Ukraine, incl. Moldavia",48.379433,31.1655799,freshwater
Acanthocephalus anguillae,"Ukraine, incl. Moldavia",48.379433,31.1655799,freshwater
Pomphorhynchus laevis,"Ukraine, incl. Moldavia",48.379433,31.1655799,freshwater
Leptorhynchoides thecatus,Louisiana,30.9842977,-91.96233269999999,freshwater
Acanthocephalus clavula,Finno-Karelian ASSR,63.15587019999999,32.9905552,freshwater
Corynosoma strumosum,Finno-Karelian ASSR,63.15587019999999,32.9905552,marine
Polymorphus minutus,Black Sea,43.41302899999999,34.299316,freshwater
Plagiorhynchus cylindraceus,"Ukraine, incl. Moldavia",48.379433,31.1655799,terrestrial
Acanthocephalus tumescens,Argentina,-38.416097,-63.61667199999999,freshwater
Neoechinorhynchus cylindratus,Nova Scotia,44.68198659999999,-63.744311,freshwater
Acanthocephalus lucii,Italy,41.87194,12.56738,freshwater
Golvanacanthus blennii,Italy,41.87194,12.56738,marine
Neoechinorhynchus rutili,Italy,41.87194,12.56738,freshwater
Echinorhynchus salmonis,Nova Scotia,44.68198659999999,-63.744311,freshwater
Acanthocephalus dirus,Great Lakes,45.0522366,-82.4846115,freshwater
Echinorhynchus leidyi,Great Lakes,45.0522366,-82.4846115,freshwater
Echinorhynchus salmonis,Great Lakes,45.0522366,-82.4846115,freshwater
Leptorhynchoides thecatus,Great Lakes,45.0522366,-82.4846115,freshwater
Neoechinorhynchus rutili,Great Lakes,45.0522366,-82.4846115,freshwater
Pomphorhynchus bulbocolli,Great Lakes,45.0522366,-82.4846115,freshwater
Acanthocephalus lucii,Norway,60.47202399999999,8.468945999999999,freshwater
Echinorhynchus gadi,Norway,60.47202399999999,8.468945999999999,marine
Macracanthorhynchus catulinus,"England, Wales + Isle of Man",54.236107,-4.548056,terrestrial
Polymorphus minutus,Italy,41.87194,12.56738,freshwater
Neoechinorhynchus emydis,Italy,41.87194,12.56738,freshwater
Southwellina hispida,Italy,41.87194,12.56738,marine
Neoechinorhynchus rutili,Norway,60.47202399999999,8.468945999999999,freshwater
Profilicollis botulus,Iceland,64.963051,-19.020835,marine
Polymorphus minutus,Iceland,64.963051,-19.020835,freshwater
Corynosoma cetaceum,Indian Ocean,-33.137551,81.826172,marine
Corynosoma semerme,Arctic Ocean,65.2481624,-60.4620977,marine
Profilicollis botulus,Norway,60.47202399999999,8.468945999999999,marine
Acanthocephalus ranae,District of Columbia/Delaware/New Jersey/Maryland,39.0457549,-76.64127119999999,freshwater
Acanthocephalus dirus,District of Columbia/Delaware/New Jersey/Maryland,39.0457549,-76.64127119999999,freshwater
Moniliformis clarki,Lake Baikal,53.5587003,108.1649965,terrestrial
Macracanthorhynchus catulinus,Lake Baikal,53.5587003,108.1649965,terrestrial
Acanthocephalus lucii,Belgium + Luxembourg,50.0546886,5.467698299999999,freshwater
Acanthocephalus anguillae,Belgium + Luxembourg,50.0546886,5.467698299999999,freshwater
Corynosoma strumosum,Byelorussia,53.709807,27.953389,marine
Echinorhynchus gadi,Sea of Okhotsk,52.87362299999999,149.3658173,marine
Echinorhynchus leidyi,Sea of Okhotsk,52.87362299999999,149.3658173,freshwater
Corynosoma strumosum,Sea of Japan,38.848848,135,marine
Acanthocephalus clavula,Eire + N. Ireland,54.7877149,-6.4923145,freshwater
Pomphorhynchus laevis,Northeast Atlantic,39.370134,-77.40677199999999,freshwater
Acanthocephalus clavula,Northeast Atlantic,39.370134,-77.40677199999999,freshwater
Acanthocephalus lucii,Northeast Atlantic,39.370134,-77.40677199999999,freshwater
Echinorhynchus truttae,Northeast Atlantic,39.370134,-77.40677199999999,freshwater
Bolbosoma vasculosum,Ligurian Sea,43.7542275,8.8362755,marine
Fessisentis necturorum,West Virginia,38.5976262,-80.4549026,freshwater
Acanthocephalus dirus,Mexico,23.634501,-102.552784,freshwater
Corynosoma strumosum,United States,37.09024,-95.712891,marine
Southwellina hispida,United States,37.09024,-95.712891,marine
Leptorhynchoides thecatus,United States,37.09024,-95.712891,freshwater
Moniliformis moniliformis,Germany,51.165691,10.451526,terrestrial
Pomphorhynchus laevis,Scotland,56.49067119999999,-4.2026458,freshwater
Acanthocephalus lucii,Egypt,26.820553,30.802498,freshwater
Acanthocephalus anguillae,Norway,60.47202399999999,8.468945999999999,freshwater
Echinorhynchus truttae,Norway,60.47202399999999,8.468945999999999,freshwater
Polymorphus minutus,Scotland,56.49067119999999,-4.2026458,freshwater
Acanthocephalus dirus,Lake Michigan,43.4501005,-87.22201869999999,freshwater
